model,IoU,Dice
UNet VGG16 C,0.20170719227370665,0.2579754868974295
UNet VGG16 B,0.19367925481702358,0.24507748936198276
UNet VGG16 D,0.1882199715795086,0.23660409178515285
UNet VGG16 A,0.18310412521556174,0.2317147809322299
UNet Mini,0.12193018338120867,0.15620261492966714
